,Unnamed: 0,Location,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
376,744,Beijing,2008,100m,Backstroke,Women,USA,Natalie Coughlin,58.96,3
377,745,Beijing,2008,100m,Backstroke,Women,ZIM,Kirsty Leigh Coventry,59.19,4
378,746,Beijing,2008,100m,Backstroke,Women,USA,Margaret Hoelzer,59.34,4
379,747,Beijing,2008,100m,Backstroke,Women,GBR,Gemma Spofforth,59.38,4
380,748,Beijing,2008,100m,Backstroke,Women,RUS,Anastasia Zueva,59.4,4
381,749,Beijing,2008,100m,Backstroke,Women,JPN,Reiko Nakamura,59.72,4
382,752,Beijing,2008,100m,Breaststroke,Men,JPN,Kosuke Kitajima,58.91,3
383,753,Beijing,2008,100m,Breaststroke,Men,NOR,Alexander Dale Oen,59.2,4
384,754,Beijing,2008,100m,Breaststroke,Men,FRA,Hugues Duboscq,59.37,4
385,755,Beijing,2008,100m,Breaststroke,Men,USA,Brendan Hansen,59.57,4
386,756,Beijing,2008,100m,Breaststroke,Men,AUS,Brenton Rickard,59.74,4
387,757,Beijing,2008,100m,Breaststroke,Men,RUS,Roman Sloudnov,59.87,4
388,768,Beijing,2008,100m,Butterfly,Men,USA,Michael Phelps,50.58,1
389,769,Beijing,2008,100m,Butterfly,Men,SRB,Milorad Cavic,50.59,2
390,770,Beijing,2008,100m,Butterfly,Men,AUS,Andrew Lauterstein,51.12,3
391,771,Beijing,2008,100m,Butterfly,Men,USA,Ian Crocker,51.13,4
392,772,Beijing,2008,100m,Butterfly,Men,KEN,Jason Dunford,51.47,4
393,773,Beijing,2008,100m,Butterfly,Men,JPN,Takuro Fujii,51.5,4
394,774,Beijing,2008,100m,Butterfly,Men,UKR,Andriy Serdinov,51.59,4
395,775,Beijing,2008,100m,Butterfly,Men,PNG,Ryan Pini,51.86,4
396,776,Beijing,2008,100m,Butterfly,Women,AUS,Libby Trickett,56.73,1
397,777,Beijing,2008,100m,Butterfly,Women,USA,Christine Magnuson,57.1,2
398,778,Beijing,2008,100m,Butterfly,Women,AUS,Jessicah Schipper,57.25,3
399,779,Beijing,2008,100m,Butterfly,Women,CHN,Yafei Zhou,57.84,4
400,780,Beijing,2008,100m,Butterfly,Women,SGP,Li Tao,57.99,4
401,781,Beijing,2008,100m,Butterfly,Women,GBR,Jemma Lowe,58.06,4
402,782,Beijing,2008,100m,Butterfly,Women,BRA,Gabriella Silva,58.1,4
403,783,Beijing,2008,100m,Butterfly,Women,NED,Inge Dekker,58.54,4
404,784,Beijing,2008,100m,Freestyle,Men,FRA,Alain Bernard,47.21,1
405,785,Beijing,2008,100m,Freestyle,Men,AUS,Eamon Sullivan,47.32,2
406,786,Beijing,2008,100m,Freestyle,Men,USA,Jason Lezak,47.67,3
407,787,Beijing,2008,100m,Freestyle,Men,BRA,Cesar Cielo Filho,47.67,3
408,788,Beijing,2008,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,47.75,4
409,789,Beijing,2008,100m,Freestyle,Men,RSA,Lyndon Ferns,48.04,4
410,790,Beijing,2008,100m,Freestyle,Men,AUS,Matt Targett,48.2,4
411,791,Beijing,2008,100m,Freestyle,Men,SWE,Stefan Nystrand,48.33,4
412,792,Beijing,2008,100m,Freestyle,Women,GER,Britta Steffen,53.12,1
413,793,Beijing,2008,100m,Freestyle,Women,AUS,Libby Trickett,53.16,2
414,794,Beijing,2008,100m,Freestyle,Women,USA,Natalie Coughlin,53.39,3
415,795,Beijing,2008,100m,Freestyle,Women,FIN,Hanna-Maria Seppala,53.97,4
416,796,Beijing,2008,100m,Freestyle,Women,DEN,Jeanette Ottesen,54.06,4
417,797,Beijing,2008,100m,Freestyle,Women,CHN,Yingwen Zhu,54.21,4
418,798,Beijing,2008,100m,Freestyle,Women,NED,Marleen Veldhuis,54.21,4
419,799,Beijing,2008,100m,Freestyle,Women,GBR,Francesca Halsall,54.29,4
422,968,Beijing,2008,50m,Freestyle,Men,BRA,Cesar Cielo Filho,21.3,1
423,969,Beijing,2008,50m,Freestyle,Men,FRA,Amaury Leveaux,21.45,2
424,970,Beijing,2008,50m,Freestyle,Men,FRA,Alain Bernard,21.49,3
425,971,Beijing,2008,50m,Freestyle,Men,AUS,Ashley Callus,21.62,4
426,972,Beijing,2008,50m,Freestyle,Men,USA,Ben Wildman-Tobriner,21.64,4
427,973,Beijing,2008,50m,Freestyle,Men,AUS,Eamon Sullivan,21.65,4
428,974,Beijing,2008,50m,Freestyle,Men,RSA,Roland Schoeman,21.67,4
429,975,Beijing,2008,50m,Freestyle,Men,SWE,Stefan Nystrand,21.72,4
430,976,Beijing,2008,50m,Freestyle,Women,GER,Britta Steffen,24.06,1
431,977,Beijing,2008,50m,Freestyle,Women,USA,Dara Torres,24.07,2
432,978,Beijing,2008,50m,Freestyle,Women,AUS,Cate Campbell,24.17,3
433,979,Beijing,2008,50m,Freestyle,Women,AUS,Libby Trickett,24.25,4
434,980,Beijing,2008,50m,Freestyle,Women,NED,Marleen Veldhuis,24.26,4
435,981,Beijing,2008,50m,Freestyle,Women,USA,Kara Lynn Joyce,24.63,4
436,982,Beijing,2008,50m,Freestyle,Women,NED,Hinkelien Schreuder,24.65,4
437,983,Beijing,2008,50m,Freestyle,Women,BLR,Aliaksandra Herasimenia,24.77,4
438,992,Athens,2004,100m,Backstroke,Men,USA,Aaron Peirsol,54.06,1
439,993,Athens,2004,100m,Backstroke,Men,AUT,Markus Rogan,54.35,2
440,994,Athens,2004,100m,Backstroke,Men,JPN,Tomomi Morita,54.36,3
441,995,Athens,2004,100m,Backstroke,Men,USA,Lenny Krayzelburg,54.38,4
442,996,Athens,2004,100m,Backstroke,Men,AUS,Matthew Welsh,54.52,4
443,997,Athens,2004,100m,Backstroke,Men,HUN,Laszlo Cseh,54.61,4
444,998,Athens,2004,100m,Backstroke,Men,GER,Steffen Driesen,54.63,4
445,999,Athens,2004,100m,Backstroke,Men,GER,Marco Di Carli,55.27,4
447,1024,Athens,2004,100m,Butterfly,Men,USA,Michael Phelps,51.25,1
448,1025,Athens,2004,100m,Butterfly,Men,USA,Ian Crocker,51.29,2
449,1026,Athens,2004,100m,Butterfly,Men,UKR,Andriy Serdinov,51.36,3
450,1027,Athens,2004,100m,Butterfly,Men,GER,Thomas Rupprath,52.27,4
